Host_Arrival_NS,Gateway_Ingress_NS,Latency_US
1764346309544926056,1764346309542748173,2177.88
1764346309547079930,1764346309544740407,2339.52
1764346309549223434,1764346309547134587,2088.85
1764346309551554366,1764346309548896602,2657.76
1764346309553656638,1764346309551317779,2338.86
1764346309555767750,1764346309553285016,2482.73
1764346309557913929,1764346309555697444,2216.49
1764346309559922428,1764346309558883519,1038.91
1764346309562176627,1764346309559640918,2535.71
1764346309564155622,1764346309561789881,2365.74
1764346309566405814,1764346309564174813,2231
1764346309568501491,1764346309566122053,2379.44
1764346309570636768,1764346309568881184,1755.58
1764346309572767797,1764346309570339490,2428.31
1764346309574816240,1764346309572314976,2501.26
1764346309576922754,1764346309574736653,2186.1
1764346309579054676,1764346309576694141,2360.53
1764346309581194211,1764346309578884349,2309.86
1764346309583417863,1764346309580850587,2567.28
1764346309585473269,1764346309583196023,2277.25
1764346309587618317,1764346309585147763,2470.55
1764346309589753692,1764346309588878015,875.677
1764346309591972177,1764346309589361700,2610.48
1764346309593989848,1764346309591799875,2189.97
1764346309596087032,1764346309593767862,2319.17
1764346309598174684,1764346309595736349,2438.34
1764346309600386456,1764346309598876680,1509.78
1764346309602449391,1764346309600318738,2130.65
1764346309604676373,1764346309602262228,2414.14
1764346309606765478,1764346309604237464,2528.01
1764346309608881344,1764346309606642143,2239.2
1764346309611161683,1764346309608875345,2286.34
1764346309613209868,1764346309610800338,2409.53
1764346309615286938,1764346309612769825,2517.11
1764346309617414439,1764346309615181004,2233.43
1764346309619558873,1764346309618872511,686.362
1764346309621765859,1764346309619159222,2606.64
1764346309623763863,1764346309621292438,2471.43
1764346309625951289,1764346309623671620,2279.67
1764346309628058854,1764346309625633608,2425.25
1764346309630154770,1764346309628875175,1279.6
1764346309632282189,1764346309629868293,2413.9
1764346309634656375,1764346309632262473,2393.9
1764346309636648550,1764346309634214463,2434.09
1764346309638684172,1764346309636192199,2491.97
1764346309640907398,1764346309638872841,2034.56
1764346309642932182,1764346309640816331,2115.85
1764346309645057761,1764346309642749573,2308.19
1764346309647217920,1764346309644713811,2504.11
1764346309649335644,1764346309648877005,458.639
1764346309651538137,1764346309649126972,2411.16
1764346309653559533,1764346309651286434,2273.1
1764346309655782004,1764346309653233674,2548.33
1764346309657819261,1764346309655700594,2118.67
1764346309659980663,1764346309658859423,1121.24
1764346309662199215,1764346309659625820,2573.39
1764346309664383676,1764346309661809529,2574.15
1764346309666586657,1764346309664215458,2371.2
1764346309668679557,1764346309666201942,2477.61
1764346309670806565,1764346309668863587,1942.98
1764346309672885538,1764346309670319643,2565.89
1764346309674883478,1764346309672750318,2133.16
1764346309677016008,1764346309674737303,2278.7
1764346309679255222,1764346309676695792,2559.43
1764346309681543332,1764346309678894498,2648.83
1764346309683516074,1764346309681293178,2222.9
1764346309685629931,1764346309683247417,2382.51
1764346309687732443,1764346309685205156,2527.29
1764346309689857086,1764346309688860668,996.418
1764346309691974012,1764346309689643063,2330.95
1764346309694070249,1764346309691778278,2291.97
1764346309696229544,1764346309693739516,2490.03
1764346309698320852,1764346309696154194,2166.66
1764346309700602427,1764346309698859333,1743.09
1764346309702625396,1764346309700305890,2319.51
1764346309704853945,1764346309702270128,2583.82
1764346309706895842,1764346309704633062,2262.78
1764346309709041693,1764346309706583052,2458.64
1764346309711330678,1764346309708861248,2469.43
1764346309713543801,1764346309710824486,2719.32
1764346309715496800,1764346309713232914,2263.89
1764346309717636584,1764346309715186153,2450.43
1764346309719680431,1764346309718856413,824.018
1764346309721924339,1764346309719357596,2566.74
1764346309724339362,1764346309721761276,2578.09
1764346309726710375,1764346309723744511,2965.86
1764346309728709704,1764346309726095197,2614.51
1764346309730578135,1764346309728857078,1721.06
1764346309732484620,1764346309730312884,2171.74
1764346309734732612,1764346309732257374,2475.24
1764346309736841430,1764346309734235360,2606.07
1764346309738937979,1764346309736630041,2307.94
1764346309741074278,1764346309738853244,2221.03
1764346309743225262,1764346309740806983,2418.28
1764346309745418876,1764346309742771221,2647.66
1764346309747487373,1764346309745166901,2320.47
1764346309749667626,1764346309748847910,819.716
1764346309751790154,1764346309749145870,2644.28
