CAN_ID,Priority,TX_Ingress_NS,RX_Egress_NS,E2E_Latency_US
0x18ffa7ef,2,1785199187730908468,1785199187731261355,352
0x18fe50a7,2,1785199187733572693,1785199187733907160,334
0x18ff9528,2,1785199187737737353,1785199187738028128,290
0x10ffd438,2,1785199187738102499,1785199187738403367,300
0xc7ff7,2,1785199187738966587,1785199187739268883,302
0x1f2,1,1785199187739331529,1785199187739643641,312
0x18fd50a7,2,1785199187739695730,1785199187740019861,324
0x18ff28a7,2,1785199187739712860,1785199187740024287,311
0x18ff2895,2,1785199187740870112,1785199187741143487,273
0xc7f14,2,1785199187741334295,1785199187741634745,300
0xc7f28,2,1785199187744098482,1785199187744402420,303
0x10fff4d4,2,1785199187748663676,1785199187749011275,347
0xc7ff7,2,1785199187749228932,1785199187749526088,297
0x10ff38d4,2,1785199187750793275,1785199187751143841,350
0x18ffa7ef,2,1785199187751757806,1785199187752040301,282
0x18fff5d4,2,1785199187752921966,1785199187753279000,357
0x18fe50a7,2,1785199187754486845,1785199187754761329,274
0x18ff9528,2,1785199187758551098,1785199187758898499,347
0x18ffefa7,2,1785199187759815239,1785199187760138032,322
0x1f2,1,1785199187760179329,1785199187760507901,328
0x18fd50a7,2,1785199187760542864,1785199187760890252,347
0x18ff28a7,2,1785199187760559994,1785199187760895122,335
0x18ff2895,2,1785199187761716783,1785199187762012989,296
0x18fe2895,2,1785199187762081781,1785199187762385802,304
0x1801d08f,2,1785199187764146065,1785199187764434943,288
0xc7f28,2,1785199187765010411,1785199187765298940,288
0xc7ff7,2,1785199187770075325,1785199187770397848,322
0x18ffa7ef,2,1785199187772439218,1785199187772764118,324
0xe7fea,2,1785199187774103523,1785199187774403538,300
0x18fe50a7,2,1785199187775267535,1785199187775557497,289
0x18ff9528,2,1785199187779232529,1785199187779510576,278
0x18ffefa7,2,1785199187780596595,1785199187780887941,291
0x1f2,1,1785199187780961130,1785199187781263292,302
0x18fd50a7,2,1785199187781324980,1785199187781639531,314
0x18ff28a7,2,1785199187781341906,1785199187781644124,302
0x18ff2895,2,1785199187782500306,1785199187782762250,261
0x18fe2895,2,1785199187782864026,1785199187783138489,274
0xc7f28,2,1785199187785728139,1785199187786021331,293
0xc7ff7,2,1785199187790793108,1785199187791150739,357
0x18ff28d0,2,1785199187792257303,1785199187792527919,270
0x30c,1,1785199187792621504,1785199187792908955,287
0x18ffa7ef,2,1785199187793285575,1785199187793639101,353
0x18fe50a7,2,1785199187796049650,1785199187796397072,347
0x18ff9528,2,1785199187800013830,1785199187800286707,272
0x18ffefa7,2,1785199187801378693,1785199187801669369,290
0x1f2,1,1785199187801742894,1785199187802016053,273
0x18fd50a7,2,1785199187802108281,1785199187802392459,284
0x18ff28a7,2,1785199187802125521,1785199187802397255,271
0x18ff2895,2,1785199187803282551,1785199187803639714,357
0xc7f14,2,1785199187803746400,1785199187804034713,288
0x18fe50a7,2,1785199187806510736,1785199187806774055,263
0x18ffe5f4,2,1785199187809774420,1785199187810061192,286
0x18ff28f4,2,1785199187809791123,1785199187810066025,274
0x18ffefa7,2,1785199187811648964,1785199187811933111,284
0x18ffa7ef,2,1785199187814013302,1785199187814295825,282
0x18fe50a7,2,1785199187816777211,1785199187817062334,285
0x18ffeff4,2,1785199187819781452,1785199187820061175,279
0x18ff9528,2,1785199187820875575,1785199187821154134,278
0x18ffefa7,2,1785199187821930013,1785199187822279038,349
0x1f2,1,1785199187822574602,1785199187822914721,340
0x18fd50a7,2,1785199187822918526,1785199187823290664,372
0x18ff28a7,2,1785199187823002729,1785199187823295220,292
0x18ff2895,2,1785199187824406924,1785199187824674881,267
0x18fe2895,2,1785199187824520961,1785199187824679455,158
0x18fe50a7,2,1785199187827336259,1785199187827642334,306
0x18ffefa7,2,1785199187832381117,1785199187832654576,273
0x18ffa7ef,2,1785199187834825213,1785199187835163012,337
0x18fe50a7,2,1785199187837529105,1785199187837890502,361
0x18ff9528,2,1785199187841563654,1785199187841908340,344
0x18ffefa7,2,1785199187842928628,1785199187843266965,338
0x1f2,1,1785199187843282866,1785199187843552760,269
0x18fd50a7,2,1785199187843627179,1785199187843899333,272
0x18ff28a7,2,1785199187843711067,1785199187843903889,192
0x18ff2895,2,1785199187844845431,1785199187845141310,295
0xc7f14,2,1785199187845299780,1785199187845658160,358
0x18fe50a7,2,1785199187848044078,1785199187848393503,349
0x18ffefa7,2,1785199187853088437,1785199187853407818,319
0x18fff5d4,2,1785199187853582749,1785199187853898094,315
0xc7fd3,2,1785199187855676995,1785199187856031291,354
0x18fe50a7,2,1785199187858301294,1785199187858653948,352
0x18ff9528,2,1785199187862355344,1785199187862660879,305
0x18ffefa7,2,1785199187863409838,1785199187863767282,357
0x1f2,1,1785199187864053315,1785199187864392465,339
0x18fd50a7,2,1785199187864397202,1785199187864677946,280
0x18ff28a7,2,1785199187864480720,1785199187864682483,201
0x18ff2895,2,1785199187865614250,1785199187865891145,276
0xc7f14,2,1785199187866068933,1785199187866408199,339
0x1801d08f,2,1785199187868082754,1785199187868395637,312
0x18fe50a7,2,1785199187868876731,1785199187869144041,267
0x18ffefa7,2,1785199187873921034,1785199187874274912,353
0x18ffa7ef,2,1785199187876465556,1785199187876766293,300
0x18ff28ef,2,1785199187877429587,1785199187877766789,337
0x18ff1eef,2,1785199187878783708,1785199187879061692,277
0x1cffd4f5,2,1785199187878867874,1785199187879066618,198
0x18fe50a7,2,1785199187879262168,1785199187879550283,288
0x18ffd0ef,2,1785199187879686499,1785199187880017318,330
0x18ff95ef,2,1785199187880750363,1785199187881021352,270
0x87f9c,2,1785199187881894486,1785199187882172940,278
0x18ff38ef,2,1785199187882879369,1785199187883157585,278
0x18ff9528,2,1785199187883633661,1785199187883903360,269
0x18fe38ef,2,1785199187884007269,1785199187884278026,270
0x18ffefa7,2,1785199187884711691,1785199187885027393,315
0x1f2,1,1785199187885055819,1785199187885404022,348
0xc7ea8,2,1785199187885480390,1785199187885779891,299
0x18ff28a7,2,1785199187886035016,1785199187886396481,361
0x1cfe50ef,2,1785199187886119090,1785199187886401018,281
0x18ff2895,2,1785199187887202991,1785199187887536255,333
0xc7f14,2,1785199187887347101,1785199187887541033,193
0x18fff4ef,2,1785199187887640785,1785199187887915198,274
0x18fe50a7,2,1785199187890225084,1785199187890532171,307
